Facility Permit #,Establishment Name,Facility Name,Facility Street No.,Facility Street Name,Facility Unit No,Facility City,Facility State,Facility Zip,Business Status,Facility Type,Permit Type,Web Site,Operational Status,Location 1
4410,Genghis Khan Mongolian Grill,Genghis Khan Mongolian Grill,3906 Bell,,,Kansas City ,MISSOURI,64111,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3906 Bell
Kansas City, MISSOURI 64111
(39.05710307500004, -94.60614417399995)"
30350,7-Eleven #17258 Deli,7-Eleven #17258 Deli,319 E ,63rd St,,Kansas City,MISSOURI,64113,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"319 E 63rd St
Kansas City, MISSOURI 64113
(39.013642600000026, -94.58407239199994)"
4628,Gates Bar B Q (3201 Main St.),Gates Bar B Q (3201 Main St.),3201 ,Main,,Kansas City,MISSOURI,64111,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3201 Main
Kansas City, MISSOURI 64111
(39.06910119500003, -94.58533933399997)"
1459,Einstein Bros Bagels #3048,Einstein Bros Bagels #3048,2450,Grand,121,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"2450 Grand
Kansas City, MISSOURI 64108
(39.08256518500008, -94.58183581299994)"
4989,Ameristar Pearl's Oyster Bar,Ameristar Pearl's Oyster Bar,3200 ,N Ameristar Dr. ,,Kansas City ,MISSOURI,64161,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3200 N Ameristar Dr.
Kansas City, MISSOURI 64161
(39.15101078400005, -94.47726143599994)"
100141,Webster House Antique & Restaurant,Webster House Antique & Restaurant,1644 Wyandotte,,,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"1644 Wyandotte
Kansas City, MISSOURI 64108
(39.09306247200004, -94.58592641299998)"
2353,Portia's Cafe,Portia's Cafe,3840 Truman Rd,,,Kansas City,MISSOURI,64127,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"3840 Truman Rd
Kansas City, MISSOURI 64127
(39.09414182100005, -94.53610819599999)"
4084,PALESTINE SR. CITIZENS CENTER,PALESTINE SR. CITIZENS CENTER,3325 PROSPECT,,,KANSAS CITY,MISSOURI,64128,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"3325 PROSPECT
KANSAS CITY, MISSOURI 64128
(39.06550910900006, -94.55301493999997)"
1261,KC LIFE INSURANCE COMPANY,KC LIFE INSURANCE COMPANY,3520 BROADWAY,,,KANSAS CITY,MISSOURI,64111,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3520 BROADWAY
KANSAS CITY, MISSOURI 64111
(39.06338314900006, -94.59042607399994)"
19176,Quik Trip #221,Quik Trip #221,9340,N Oak Tfwy,,Kansas City,MISSOURI,64155,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"9340 N Oak Tfwy
Kansas City, MISSOURI 64155
(39.263201491000075, -94.57578633299994)"
24433,Treat America @ Commerce Executive Dining,Treat America @ Commerce Executive Dining,1000,Walnut St,,Kansas City,MISSOURI,64105,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"1000 Walnut St
Kansas City, MISSOURI 64105
(39.10222392400004, -94.58196850499996)"
31600,R.C.'s Restaurant & Back Door Lounge,R.C.'s Restaurant & Back Door Lounge,330 ,E 135TH ST,,Kansas City,MISSOURI,64145,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"330 E 135TH ST
Kansas City, MISSOURI 64145
(38.88267770600004, -94.59153917799995)"
100258,Oakwood Country Club Pool Snack Bar,Oakwood Country Club Pool Snack Bar,9800 Grandview Road,,,Kansas City,MISSOURI,64137,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"9800 Grandview Road
Kansas City, MISSOURI 64137
(38.947683684000026, -94.54817305199998)"
100646,Pot Pie ,Pot Pie ,904 Westport Rd  ,,,Kansas City,MISSOURI,64111,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"904 Westport Rd
Kansas City, MISSOURI 64111
(39.05063446400004, -94.59704073099994)"
1404,Forest Ave. Family Shelter,Forest Ave. Family Shelter,4300 Forest Ave.,,,Kansas City,MISSOURI,64110,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"4300 Forest Ave.
Kansas City, MISSOURI 64110
(39.048712297000066, -94.57131547999995)"
1718,Room Service - Sheraton Kansas City,Room Service - Sheraton Kansas City,2345 McGee,,,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"2345 McGee
Kansas City, MISSOURI 64108
(39.08501839300004, -94.58045537899994)"
11681,DRURY INN KANSAS CITY STADIUM,DRURY INN KANSAS CITY STADIUM,3830 BLUE RIDGE CUTOFF,,,Kansas City,MISSOURI,64133,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"3830 BLUE RIDGE CUTOFF
Kansas City, MISSOURI 64133
(39.05269659500004, -94.47386284699996)"
29800,Boys & Girls Club Thornberry Unit,Boys & Girls Club Thornberry Unit,3831,E 43rd St.,,Kansas City,MISSOURI,64130,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"3831 E 43rd St.
Kansas City, MISSOURI 64130
(39.047683310000025, -94.53934081199998)"
4875,MARSH'S SUNFRESH (Deli/Salad Bar/Sushi Bar),MARSH'S SUNFRESH (Deli/Salad Bar/Sushi Bar),4001 MILL ST.,,,KANSAS CITY,MISSOURI,64111,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,,"4001 MILL ST.
KANSAS CITY, MISSOURI 64111
(39.053557642000044, -94.59380917299995)"
14500,Z-Teca Fresh Mexican Grill,Z-Teca Fresh Mexican Grill,2450 Grand,,Suite 146,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"2450 Grand
Kansas City, MISSOURI 64108
(39.08256518500008, -94.58183581299994)"
